cust_id,AVARAGE _INTER_BOUNCE_TIME,salary of customer,FIRST 3 MONTH_BOUNCE_RATIO,FIRST_MONTH_BOUNCE,LATEST 3 MONTH_BOUNCE_RATIO,LATEST 3 MONTH_CLEAR_RATIO,LATEST_3 MONTHONTH_AVARAGE UNIQ_INTENSITY,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_GT15D,LATEST_3 MONTHONTH_NUMBER OF TIME_FOLLOWUP_LQ15D,LATEST_MONTH_BOUNCE,LATEST_MONTH_FIRST_FOLLOWUP_DAY,LATEST_MONTH_LAST_FOLLOWUP_DAY,LATEST_MONTH_UNIQ_INTENSITY,month on book,NEVER_BOUNCE_FLAG,NUMBER OF TIME_BANK_CLEAR,NUMBER OF TIME_BOUNCE_PAID_BY_ END OF THE MONTH,NUMBER OF TIME_BOUNCES_LATEST_25PT,NUMBER OF TIME_CLEAR,number of deviations customer have at time of disbursal. ,Median day Offline payment  (like manual or mobility app payment)number of receipt cut,On which day receipt cut has been done,median receipt cut in last 6 month,remaining tenure of customer,RATE OF INTEREST,total number of dre receipt cut,TOTAL_OUTSTANDING_BALANCE LIVE_TRACTOR LOAN,number of unique receipt cut
cust4053,,1725000,0,,0,0,,,,,,,,1,NO,,,,,1,0,8,0,35,22,0,,0
cust4054,,550000,0,,0,0,,,,,,,,1,NO,,,,,1,0,,0,11,21,0,,0
cust4055,0,150000,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,0,27,5,27,10,0,1,,1
cust4056,0,394335,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,2,6,5,6,28,14,1,,1
cust4057,,420000,0,,0,0,,,,,,,,1,NO,,,,,1,0,11,0,35,15,0,,0
cust4058,,250000,0,,0,0,,,,,,,,1,NO,,,,,0,0,14,0,29,15,0,,0
cust4059,0,250000,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,2,8,12,8,34,14.5,1,,1
cust4060,0,165819,0.5,1,0.5,0.5,2,1,1,0,12,17,2,3,NO,1,1,0,1,1,13,5,13,21,15,1,,1
cust4061,0,250000,0,0,0,1,4,0,1,0,12,21,4,2,YES,1,0,0,1,1,0,5,0,46,14.46,0,,0
cust4062,0,792800,0,0,0,1,1.5,1,1,0,12,17,2,3,YES,2,0,0,2,2,0,5,0,21,24,0,,0
cust4063,0,150000,1,1,1,0,2,0,1,1,12,17,2,2,NO,0,1,1,0,1,26,5,26,22,26,1,,1
cust4064,0,271050,0,0,0,1,1.5,1,1,0,12,17,2,3,YES,2,0,0,2,2,0,5,0,21,24,0,,0
cust4065,0,250000,1,1,1,0,0,0,0,1,0,0,0,2,NO,0,1,1,0,0,30,5,30,40,20,1,,1
cust4066,0,56683,0.5,0,0.5,0,2.5,1,1,1,12,25,3,3,NO,0,1,1,0,1,22,27,22,38,14,2,,2
cust4067,,1050000,0,,0,0,,,,,,,,1,NO,,,,,1,0,24,0,27,26.06,0,,0
cust4068,0,231950,1,1,1,0,0,0,0,1,0,0,0,0,NO,0,1,1,0,1,19,13,19,53,17.13,3,,3
